,Year,Total Sales,Growth Percentage
0,2019,1189952.0,0.0
1,2020,2613217.0,119.60692532135751
2,2021,3834766.0,46.7450272977713
3,2022,4520033.0,17.869851771920374
4,2023,5162530.0,14.214431620300116
5,2024,5237758.0,1.4571925005762765
